accuracy,precision,recall,f1,mcc,balanced_accuracy,gmean,fbeta_2,brier,roc_auc,pr_auc,scenario,model,fold
0.99704,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00296,0.5,0.00296,sem_balanceamento,dummy,1
0.99704,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00296,0.5,0.00296,sem_balanceamento,dummy,2
0.99844,0.7611940298507462,0.6891891891891891,0.723404255319149,0.7235211952888185,0.8442736445825589,0.8299077048877537,0.7024793388429752,0.0012309100355441744,0.9954253780379111,0.7846849654844957,sem_balanceamento,logistic_regression,1
0.99844,0.7777777777777778,0.6621621621621622,0.7153284671532847,0.7168785771960129,0.8308002498205499,0.8135049173132329,0.6824512534818942,0.001146084310781188,0.9752158280401881,0.8010929752627786,sem_balanceamento,logistic_regression,2
0.99704,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00296,0.5,0.00296,smote,dummy,1
0.99704,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00296,0.5,0.00296,smote,dummy,2
0.98632,0.17317073170731706,0.9594594594594594,0.29338842975206614,0.4045735219110736,0.9729296013497248,0.9728363502974129,0.5028328611898017,0.011301252828398426,0.9873043126573577,0.7240279253206269,smote,logistic_regression,1
0.99504,0.3670212765957447,0.9324324324324325,0.5267175572519084,0.5833381493175606,0.9638291505017013,0.9633176409945527,0.7128099173553719,0.00395392355982486,0.9789945807156751,0.746653834497933,smote,logistic_regression,2
0.99704,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00296,0.5,0.00296,undersampling,dummy,1
0.99704,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00296,0.5,0.00296,undersampling,dummy,2
0.9568,0.06260869565217392,0.972972972972973,0.11764705882352941,0.24110351020216733,0.9648624794255862,0.9648283910093585,0.24896265560165975,0.04184204913054517,0.9959528854056656,0.6806587489742846,undersampling,logistic_regression,1
0.97348,0.09602194787379972,0.9459459459459459,0.17434620174346202,0.2968861384666641,0.9597538443522556,0.9596545126713752,0.34146341463414637,0.029334460996645644,0.9839996660385011,0.6790359772649253,undersampling,logistic_regression,2
